Timestamp,RollNo,Topic,YourAnalysis
2025/08/22 6:14:32 PM GMT+5:30,64,Understanding Overfitting,"Source: https://statisticsbyjim.com/regression/overfitting-regression-models/
Over the past few lectures, we have started to measure the possible depths of the concepts related to Data science, and possibly have already taken up our first steps into those depths. This results in several new terms and concepts coming up, which need careful consideration. One such topic we encountered today is overfitting. 
When we try to fit a statistical model to our dataset, we often face the risk of overfitting. It mainly results from a condition where we try to fit too many degrees of freedom to very limited constraints. That is, in simple terms, when we have very few data points to constrain our model and many features, possibly interdependent, to tune our model. This phenomenon is also called “the model having high variance”.
In such a case, the model attempts to predict the random noises and quirks of the specific sample we are working with. Since our goal of this statistical modelling was to be able to generalise the model to the population reasonably, these quirks and noises predicted by the model become problematic. We have to keep in mind that this method can result in widely varying models for two samples, as no two samples carry the exact same randomness.
A typical characteristic of an overfit model is that it performs very good on the training samples, but a huge dip is observed for the test set. This is helpful in detecting overfitting. This also presents a classic example of a case where a high R^2 term, or the proportion of total variance of the data that is captured by the model, is not always good news for the model. The model always faces a tradeoff between bias and variance, and hence it finally depends on us and our purpose to find the right fit model.
Thus, the data collection and the number of features we expect to keep should be simultaneously considered in order to avoid this problem of severe overfitting. There are several other tests and procedures to keep overfitting in check, such as cross-validation, predicted R^2, Regularisation, etc.
"
2025/08/22 6:52:00 PM GMT+5:30,167,Feature Engineering,"Sometimes the raw data provided to us is not the most suitable to perform analysis pn.

So using domain knowledge, we create new variables or modify existing ones to improve the performance of machine learning algorithms.

This is called feature engineering.

For instance, we might observe that dependent variable depends not only on an independent variable, but also its higher powers. Hence to capture non-linearity, we can create new features, namely x^2, x^3, etc. and perform multiple linear regression.

This also shows that polynomial regression is contained in multiple linear regression.

Here, we generated features using mathematics. We can also generate them using domain knowledge. For eg- using rate of change of voltage, instead of voltage from raw data. The generated feature was not a part of existing data. Rather it was engineered using domain-expertise to produce desired results."
2025/08/22 6:56:13 PM GMT+5:30,176,Multiple Linear Regression,"Multiple Linear Regression does not necessarily implies a straight line. Let's say the Linear Regression captured by our model Y vs X is curvilinear and not a straight line. Would we call it linear regression! Why or why not? Linear regression actually means that the expected value of Y should be linear combination of parameters of regression. For example Y= aX1 + bX2 + cX3 + dX4......kXk. Here Y is a linear combination of Xi using coefficients a, b, c, d....k. Now even when Let's say X2=X1², X3=X1³, X4=X1⁴.....and so on. The relation would still be linear even when it does not give a straight line when Y is plotted against X1; it is linear. And in fact X1, X2, X3....are called the feature space, when Y is plotted in feature space against all these Xi's it gives a straight line. Hence being a multiple linear Regression doesn't implies that regression model would come out to be straight line!"
2025/08/22 7:04:31 PM GMT+5:30,185,The case when the error of testing dataset is less than the error in training dataset. How to solve such an error?,"This is the case opposite to the overfitting where the testing error was very high compared to the training dataset.
Such a case might occur if we consider very few points in the testing dataset which might be luck are getting fitted properly than our expectations.
Another reason might be of that the training dataset might have some complicated error terms which got filtered while we tackle the testing dataset.

In order to corrent this outcome we need to need decide upon the split between the training and testing dataset. We also see for the cleaning of the data like if such a condition takes place it's quite a possibility that a outliers have not been detected and cleaned properly."
2025/08/22 7:08:35 PM GMT+5:30,15,Polynomial Linear regression ,"Linear regression is used to show the linear line relationship between the independent (features) and dependent variable (target). But in most of the real world problems, this relationship is not linear. For ex, population growth, object trajectory under acceleration or relationship between car speed and fuel efficiency might be a curve like parabola. In such cases, Polynomial Linear Regression is a better option.
Polynomial Linear Regression:
Polynomial regression is an expanded version of linear regression in which we add higher degree terms (squared, cubic, etc) of the independent variable. Instead of a straight line, the model fits a curve in this case. In polynomial regression, the model remains linear with respect to the coefficients, but features are the polynomial functions of the input variable.
Need of Polynomial Regression:
The linear regression model will underfit the data when the original relationship is curved .Polynomial linear regression provides us more flexibility, so that we can model nonlinear patterns too. It should be used when the scatter plot of data shows a curved trend instead of a straight line.
Training and Testing in Polynomial Regression:
Similarly to the multiple linear regression, the dataset is splitted into a training set and a testing set. The training set is then used to determine the polynomial curve by determining the best coefficients. The testing set is used to verify, if the curve works well with the new unseen data. This step is even more important in polynomial regression as compared to multiple linear regression, since we are using the higher degree terms so this can lead to overfitting, when the model fits to the noise instead of  the actual relationship.
Overfitting and Model Complexity:
Lower degree polynomials (ex, degree 1 or 2) are might be too simple and may get underfitted. High degree polynomial terms model might fit noise rather than the actual relationship but in this case it will pass through all data points (overfitting). Optimal degree makes a balance between underfitting and overfitting, which results in good generalization. This shows us the importance of splitting the dataset and then evaluating performance on the test set.
Implementation:
In practice, scikit-learn libraries already have a PolynomialFeatures function that automatically creates higher degree terms from the original terms. Then, the transformed features are used by the same LinearRegression model. This shows us that polynomial regression is actually a linear regression model used on transformed features.
Conclusion:
Polynomial linear regression is basically an extended version of simple linear regression that helps us to model curved patterns between the input features and the target variables. But if we continuously increase the degree of the polynomial, the model might become too complex and may start overfitting. That is why we still be needing to split the dataset into training and testing parts: it will helps us in checking if the model is not just remembering the training dataset but is able to generalize to the new unseen data.
"
2025/08/22 7:35:56 PM GMT+5:30,47,"Overfitting, Underfitting, Bias-Variance trade off ","Analysis: Overfitting, Underfitting, Bias-Varіance Trade-off, and the Curse of Dimensionalitу

Today‍'s lecture addressed overfitting and undеrfitting, two critical challenges in the construсtion of pr‍edictive models. Underfitting occurs whеn a model lacks the complexity required to reрresent the und‍erlying data structure. It operаtes under overly restrictive assumptions, such аs fitting a linear m‍odel to non-linear data, rеsulting in high bias and poor predictive perfоrmance. Conversely, overfit‍ting arises when a mоdel excessively adapts to the training data, іncorporating noise and irrelevant‍ fluctuations. Τhis leads to high variance: the model excels оn the training dataset but fails to ge‍neralizе effectively to unseen data.

The bias-varianсe trade-off is a central concept in model buil‍dіng. A simple model exhibits high bias but yields stаble predictions. A complex model, on the other‍ hаnd, demonstrates low bias but produces fragilе, high-variance predictions. The optimal model strі‍kes a balance between these forces, capturing mеaningful patterns without memorizing noise.

Τhe cur‍se of dimensionality, while not explicitlу discussed in class, is closely related to ovеrfitting. As‍ the number of features increases, thе data becomes increasingly sparse, causing thе model to identi‍fy spurious correlations. This іntensifies the risk of overfitting and highlights thе importance of ‍dimensionality reduction or feаture selection techniques.

In conclusion, a thоrough understanding o‍f these dynamics is essentіal for creating models that are not only accurаte but also reliable in re‍al-world applications."
2025/08/22 7:42:54 PM GMT+5:30,54,Polynomial regression ,"Polynomial regression is an extension of simple linear regression where while looking at the graph Instead of fitting a straight line, this method allows the model to fit a curve by including powers of the predictor variable that is like first variable X1 as showed in the class. The main idea is that the relationship between the independent and dependent variables is not always linear. Adding squared or higher-order terms gives the model the flexibility to capture this non-linearity. For example, we can include X, X², X³, and so on. The regression line then bends to fit the data better. 

It is important to note that even though the curve appears non-linear, the method is still a type of multiple linear regression. The coefficients we estimate (B₀, B₁, B₂…) appear linearly in the equation. In class, we also connected this back to the ideas of estimation, p-values, and confidence intervals. The same logic applies when checking whether the extra terms we added, like X², are statistically significant. If these terms improve the model without overfitting, polynomial regression becomes a helpful tool for capturing curved trends in data.

Another point I found while exploring polynomial regression is the balance between flexibility and overfitting. Adding higher-order terms can make the model closely fit the training data; however, this doesn't always guarantee good predictions on new data. In practice, people often start with lower-order polynomials like quadratic or cubic and only increase the order if there is strong evidence in the data. Visualizing the fitted curve also helps in deciding whether the added terms are genuinely capturing the trend or simply forcing the model to fit every fluctuation. This ties back to our class discussion on statistical significance. Even if a higher-order term is mathematically possible, we should only include it if its p-value and confidence interval indicate that it brings real value to the model."
2025/08/22 7:48:10 PM GMT+5:30,32,Polynomial Regression,"Polynomial regression is a special case of multiple linear regression. It allows us model non-linear relationships between an independent (x) and dependent variable (y). In MLR, we so y = b_0 + b_1*x_1 + b_2*x_2 + .... , where x_1, x_2, x_3, etc are called features. In polynomial regression, it's just that the features are co-related with each other. The new features that are created for polynomial regression are powers of the original features. The use case is when the data does not necessarily exhibit a linear relationship (for example, most of the times, real world data won't describe linear relationship). Polynomial regression allows us to fit a more flexible curve that fits a data rather than a simple linear curve. An important thing to note is that even though the relationship between y and x (features) is non linear, the equation is linear in its ""feature space"" (meaning the equation is linear in terms of its features). Even for polynomial regression, we use OLS to determine the best set of coefficients of the features. 
Polynomial regression helps us model a wide range of non-linear relationships, hence it is flexible and a great tool for data analysis. However, we need to choose the degree of the polynomial properly. 2 main issues that can arise are overfitting and underfitting. Overfitting the curve means that the model is too complex and is a good fit only for the training data and not for the testing data. It fits the training data too closely. It normally happens when the degree of polynomial is too high. An indicator of overfitting is when we see discrepancy in training and testing performance. In simple terms, in overfitting, the model ""oscillates"" randomly to fit the training data, it has the ability to do so due to large degree of freedom (power of polynomial). Hence, to avoid/reduce overfitting, a sufficiently large dataset can help. 
Underfitting is the exact opposite of overfitting. Here the model is too simple to capture the trend in the data. This often happens when the degree of polynomial is too low. High errors in both training and testing data are observed when the model is under fitted. 
Hence, choosing an appropriate degree of polynomial for polynomial regression is important. "
2025/08/22 7:51:01 PM GMT+5:30,43,"Domain knowledge, Lasso and Ridge regression","Feature engineering is an area where domain expertise is invaluable, significantly enhancing model performance. Experts help create predictors that are not only statistically valid but also meaningful within their real-world context.
Furthermore, domain knowledge fosters trust. When users have a strong understanding of the subject matter, they can better interpret model outputs, manage expectations, and accurately assess system performance. Conversely, those with less experience may find themselves overly reliant on opaque AI systems.

Lasso and Ridge Regression are regularisation methods that improve linear regression performance when there are many or correlated predictors. These methods modify the Ordinary Least Squares (OLS) loss function by adding penalties on the size of the coefficients, which discourages overly complex models.
Ridge Regression (L2 penalty): This method shrinks coefficients, but it never reduces them to zero. It is particularly useful in situations of multicollinearity, as it distributes influence across correlated predictors.
Lasso Regression (L1 penalty): This method can drive some coefficients exactly to zero, effectively performing feature selection. This makes it powerful when only a subset of predictors is genuinely significant.

Advantages: Both methods help reduce overfitting, improve generalisation, and manage collinearity. Lasso enhances interpretability by selecting important variables, while Ridge stabilises models in high-dimensional spaces.
Disadvantages: Ridge Regression never eliminates variables, whereas Lasso can behave inconsistently when dealing with correlated features. Both methods require careful tuning of the penalty parameter (lambda)."
2025/08/22 7:52:11 PM GMT+5:30,126,can error in testing data be less than error in training data,"Sampling variability / small sets

If your test set is small or simply luckier (less noisy, fewer hard examples), the test error can be smaller by chance.

Regularization / model selection effects

Methods such as L2 regularization, early stopping, or pruning are selected to enhance generalization. They can cause the model to fit the training set less well (higher training error) but better on new data (lower test error).

Noise / label errors during training

When training labels are noisy or inaccurate, the model will have to compromise on fitting noise, raising training error, while the purer test set displays lower error.

Difficulty / distribution shift differences

When the test set is from a slightly different but easier distribution (or is filtered to exclude hard cases), test error can be lower.

Regularization-like behavior at test time (dropout/batchnorm pitfalls)

If you report on training loss during training with dropout on or other training-only noise, that loss is greater than the test-time evaluation loss measured with dropout disabled. (Always test training error on the model in evaluation mode.)

Data leakage in the test set (bad)

If some data from labels or features crosses over into the test set (or the test set was exposed during model training), the test performance can be optimistically low. That is problematic and needs to be addressed.

Various evaluation processes

If you measure training error on minibatches or alternate measures than test error, figures become non-consistent."
2025/08/22 7:52:37 PM GMT+5:30,118,Backward feature elimination,"Backward feature elimination is a feature selection method where we begin with all available features and systematically remove the least significant ones based on their impact on model performance. At each step, the model is retrained without one feature, and if the performance does not improve, that feature is considered unnecessary. This process is continued until only the most relevant features remain. The goal is to reduce complexity, improve generalisation, and make the model more interpretable and change few values like the zero value coming in the range of probablitiy distribution function."
2025/08/22 7:57:59 PM GMT+5:30,138,"Polynomial Regression, Overfit and Underfit, when is RMSE of testing data high","Today's class focused on polynomial Regression, overfitting and underfitting and there were brief mention of a few terms that I will touch up on in the analysis , in order to fully understand the class.
The main topic of analysis is Polynomial Regression
All polynomial Regressions fall under multiple linear regression, but all MLRs are not multiple linear Regressions. Polynomial Regression is assigning non linear relations to new variables x2,x3 rather than assigning a non linear relation in x1.
Polynomial regression extends linear regression by fitting data with higher-degree polynomials, allowing it to capture nonlinear relationships. A low-degree polynomial may underfit (too simple), while a very high-degree polynomial may overfit (too complex, fitting noise).

Underfitting happens when a model is too simple to capture the underlying trend in the data (high bias, low variance). It usually gives high RMSE on both training and test data.

Overfitting happens when a model is too complex and starts fitting noise in the training data (low bias, high variance). It shows low RMSE on training data but high RMSE on test data, since it fails to generalize.

Thus only a perfectly fitting model has a low RMSE on train data, and the more accurate a model is, the lower is the RMSE of train data.

This can be used to identify Underfit and Overfit - the training data RMSE is very low in Overfit and testing data RMSE is very high, while both are high in Underfit and both are low in best fit. This is how they can be distinguished or found


"
2025/08/22 8:03:03 PM GMT+5:30,77,Neural networks and how they manage to not overfit,"The topic chosen is neural networks and how they manage to not overfit.

It is quite intuitive that more parameters leads to overfitting. A polynomial regression with x^n can perfectly represent data with n datapoints. But it would probably not explain the trend in the data very well. The model can memorise the training set perfectly but fail on unseen data. But deep learning models have billions of parameters but manage to perform better. 

The myth is that too many parameters leads to a high variance, i.e. poor generalisation. The reality is that overparameterized neural networks often generalise better than smaller ones. 

The way this works is through the double descent phenomenon. As model complexity increases, test error first decreases due to a good bias-variance balance, but then rises due to overfitting. It then decreases again when the models become extremely large. 

One reason neural networks don't overfit is that they are trained through stochastic gradient descent or its variants. Stochastic gradient descent is a technique that helps improve efficiency and speed when performing gradient descent over large amounts of data. Stochastic gradient descent doesn't explore all possible solutions that perfectly fit the training data. This is called implicit regularisation. 

There are other techniques that help combat overfitting in neural networks. For example, dropout is a technique which is used where a neuron is randomly turned off during training, forcing the network to learn redundant, robust representations instead of memorising specific patterns.

Neural networks are also trained on massive datasets. Overfitting is almost guaranteed in small datasets but in larger datasets, even networks with billions of parameters are not enough to memorise every detail and are forced to learn generalised features. "
2025/08/22 8:03:35 PM GMT+5:30,84,The Importance Of Domain Knowledge In Data Science,"Domain knowledge is a vital component of data science, as it provides the real-world context needed to make data-driven solutions both accurate and impactful. Technical expertise allows data scientists to clean data, build predictive models, and evaluate performance, but domain expertise ensures these processes are grounded in practical understanding. Without it, even sophisticated models may yield results that are statistically correct yet meaningless or misleading in real-world scenarios.
One of the most valuable applications of domain knowledge is in feature engineering. Subject expertise helps transform raw data into variables that truly capture underlying patterns. For example, in healthcare, medical knowledge guides the creation of predictors that reflect disease progression, while in finance, expertise enables the construction of ratios and indicators that measure risk and performance effectively.
Domain expertise is equally important when it comes to interpreting model outputs. While models can uncover correlations, only domain understanding can determine whether those relationships are meaningful or spurious. This helps translate statistical findings into actionable business or policy decisions.
A real life example of this is Netflix’s recommendation engine. While driven by advanced algorithms, its success heavily relies on domain expertise in entertainment. Understanding viewing habits, cultural preferences, and genre categorizations helps design features like watch history, session length, and content categories. This blend of data science and domain knowledge ensures that recommendations feel personalized, boosting user satisfaction and retention.
We can conclude that domain knowledge bridges technical modeling with real-world decision-making, ensuring that data science delivers relevant, trustworthy, and high-impact outcomes.
"
2025/08/22 8:24:11 PM GMT+5:30,137,Overfitting and Underfitting,"Date: 22/08/2025
Time: 20:14

Topics: Overfitting and Underfitting

Today I wanted to explore and learn more about the concepts of overfitting and underfitting in more detail and understand how they affect model performance. These two problems occur when we try to train a model to make predictions based on data, and they are closely related to how well the model learns patterns.

Overfitting occurs when the model learns the training data too perfectly. It does not just learn the general patterns but also memorizes all the noise and random variations in the dataset. Because of this, the model performs extremely well on the data it has already seen but struggles badly on new, unseen or testing data. For example, imagine preparing for an exam by memorizing the solutions to 100 practice problems. If the exam has different questions, you will not perform well because you understood nothing about the concepts but memorized the answers to the 100 problems, so you will onky score if the questions come from the set of 100 you memorized. Overfitting usually happens when the model is too complex compared to the amount of data available.

Underfitting is the opposite situation. It happens when the model is too simple and cannot capture the important things in the data. It fails to learn even the general patterns, leading to bad performance on both the training set and new data. For example, if you only read a two-page summary before an exam, you will lack the depth to solve questions. Underfitting often happens when the model has too few parameters, or when we do not train it enough.

The aim is to find a sweet spot between these two extremes, where the model learns the actual structure of the data without memorizing unnecessary details.Achieving this balance is called good generalization

To reduce overfitting, we can use methods like cross validation, regularization, ignore some variables as we did in class today also called deleting features, and increasing the amount of data. To fix underfitting, we might need to choose a more complex model, provide better features, or train the model for longer.

I found it really interesting how overfitting and underfitting are like two sides of the same coin. They explain why models that seem perfect during training can still fail in real-world scenarios. Understanding these concepts is crucial for building models that work well on unseen data and not just on what they were trained on."
2025/08/22 8:54:02 PM GMT+5:30,153,Overfitting and Underfitting,"The class started with understanding the X, Y and beta vectors in a space and the emerging error vector. Then we understood the python program for MLR and the outputs that we received were check based on our knowledge of R^2 and 95% CI. Those features which had 0 in the class were termed insignificant and were removed to avoid instability. We also learnt about backward feature elimination. Then we understood the true meaning of linear regression, that is still defined if the model is not linear. We learnt about polynomial regression as a part of MLR and then understood about concepts of bias, bias-variance trade-off, overfitting and underfitting.
Underfitting is a situation when your model is too simple for your data. More formally, your hypothesis about data distribution is wrong and too simple- for example, your data is quadratic and your model is linear. This situation is also called high bias. This means that your algorithm can make accurate predictions, but the initial assumption about the data is incorrect.
Opposite, overfitting is a situation when your model is too complex for your data. More formally, your hypothesis about data distribution is wrong and too complex – for example, your data is linear and your model is a high-degree polynomial. This situation is also called high variance. This means that your algorithm can’t make accurate predictions – changing the input data only a little, the model output changes very much.
These are two extremes of the same problem and the optimal solution always lies somewhere in the middle.
possible options: low bias, low variance – is a good result, just right.
low bias, high variance – overfitting – the algorithm outputs very different predictions for similar data.
high bias, low variance – underfitting – the algorithm outputs similar predictions for similar data, but predictions are wrong (algorithm ""miss"").
high bias, high variance – very bad algorithm. You will most likely never see this.
How to Detect Underfitting and Overfitting
Underfitting means that your model makes accurate, but initially incorrect predictions. In this case, train error is large and validation/test error is large too.
Overfitting means that your model makes not accurate predictions. In this case, train error is very small and validation/test error is large.
When you find a good model, train error is small (but larger than in the case of overfitting), and test error is small too.
Now let’s look at techniques to prevent underfitting and overfitting, considering exactly why we should use them.
General Intuition You Should Remember
As we remember:
•	underfitting occurs when your model is too simple for your data.
•	overfitting occurs when your model is too complex for your data.
Based on this, simple intuition you should keep in mind is:
•	to fix underfitting, you should complicate the model.
•	to fix overfitting, you should simplify the model.
More Simple / Complex Model: To complicate the model, you need to add more parameters (degrees of freedom). Sometimes this means directly trying a more powerful model – one that is a priori capable of restoring more complex dependencies (SVM with different kernels instead of logistic regression). If the algorithm is already quite complex (neural network or some ensemble model), you need to add more parameters to it, for example, increase the number of models in boosting. In the context of neural networks, this means adding more layers / more neurons in each layer/more connections between layers/more filters for CNN, and so on.
To simplify the model, you need contrariwise to reduce the number of parameters. Either completely change the algorithm (try random forest instead of deep neural network), or reduce the number of degrees of freedom. Fewer layers, fewer neurons, and so on.
More Regularization / Less Regularization: This point is very closely related to the previous one. In fact, regularization is an indirect and forced simplification of the model. The regularization term requires the model to keep parameter values as small as possible, so requires the model to be as simple as possible. Complex models with strong regularization often perform better than initially simple models, so this is a very powerful tool.
More regularization (simplifying the model) means increasing the impact of the regularization term. This process is strictly individual – depending on the algorithm, the regularization parameters are different (for example, to reduce the regularization, the alpha for Ridge regression should be decreased, and C for SVM – increased). So, you should study the parameters of the algorithm and pay attention to whether they should be increased or decreased in a particular situation. There are a lot of such parameters – L1/L2 coefficients for linear regression, C and gamma for SVM, maximum tree depth for decision trees, and so on. 
Opposite, in the case when the model needs to be complicated, you should reduce the influence of regularization terms or abandon the regularization at all and see what happens.
More Features / Fewer Features: Adding new features also complicates the model. Think about it in the context of a polynomial regression – adding quadratic features to a dataset allows a linear model to recover quadratic data.
Adding new ""natural"" features– obtaining new features for existing data is used infrequently, mainly due to the fact that it is very expensive and long. But sometimes this can help.
But artificial obtaining of additional features from existing ones (feature engineering) is used quite often for classical machine learning models.
If you need to simplify the model, then you should use a smaller quantity of features. First of all, remove all the additional features that you added earlier if you did so. But it may turn out that in the original dataset there are features that do not carry useful information, and sometimes cause problems. Linear models often work worse if some features are dependent – highly correlated. In this case, you need to use feature selection approaches to select only those features that carry the maximum amount of useful information.
It is worthwhile to say that in the context of neural networks, feature engineering and feature selection make almost no sense because the network finds dependencies in the data itself. This is actually why deep neural networks can restore such complex dependencies.
Why Getting More Data Sometimes Can’t Help?
One of the techniques to combat overfitting is to get more data. However, surprisingly, this may not always help. Note, that if we had initially trained a very complex model (for example, a 150-degree polynomial), small increase in data would not have helped. So, getting more data is a good way to improve the quality of the model, but it may not help if the model is very complex. If the problem is structural (wrong model assumption), more data won’t help underfitting. If the problem is data scarcity, more data can still help. So, the conclusion is – getting more data can help only with overfitting (not underfitting) and if your model is not too complex."
2025/08/22 8:56:59 PM GMT+5:30,60,Bias Variance Trade-Off,"In supervised learning, the aim is to create models that perform well on new data. Two main sources of error that affect the model's performances are bias and variance. Understanding how these two factors affect the model is important for choosing the right model.

Bias is the error that happens when a model is too simple to recognize the true patterns in the data, which ultimately leads to underfitting. For example, using a linear model for data that follows a quadratic trend will result in consistently wrong predictions throughout. Mathematically, Bias(x) = Expected value of predicted f(x) minus true f(x), meaning Bias(x) = E[f̂(x)] − f(x).

Variance tells how much a model's predictions vary with different training datasets. High variance arises when the model is too complex, fitting noise in the training data and causing overfitting. For example, a high-degree polynomial may perform perfectly on training data but poorly on new or unseen data. Variance(x) = Expected value of the squared difference between predicted f(x) and its mean, or Variance(x) = E[(f̂(x) − E[f̂(x)])²].

The total expected prediction error can be broken down as: Expected Error = (Bias(x))² + Variance(x) + σ², where σ² represents the noise. High bias leads to underfitting, while high variance leads to overfitting. The best tradeoff should minimize both errors.

To manage this tradeoff, strategies include adjusting model complexity and using regularization techniques like L1 or L2. In practice, balancing bias and variance is important to build models that work well on both training and testing data."
2025/08/22 9:01:15 PM GMT+5:30,74,Bias-variance trade-off ,"The bias variance trade off is as fundamental concept in machine learning and statistics that explains the source of prediction error and how they interact. There are mainly two type of error in a model bias error and variance. Bias is a error introduced in the model when model makes strong assumptions about the data. For example using a linear regression model for a highly non-linear pattern in the data results in consistent inaccurate predections. On the other hand Variance refers to the error that occurs due to over sensitivity of the model towards training data. For example creating a high degree model for a very simple data gives a curve that fits the training data very well but dont generalise on the new data, this is called overfiting on the training data. Overall the error in a model consist of three parts square of bias error, variance and random error (error due to randomness in the data that cannot be avoided). The challenge is that the variance error and bias are inversely related that is reducing other increses other. Thus the goal is to maintain the correct balance between these two to minimize the overall possible total error. A model with high variance and low bias consistently gives the wrong predictions in same way model with low variance and high bias will misses the target. In practice techniques such as increasing model complexity adding features or reducing regularisation can lower bias, while collecting more data simplifying the model or applying regularisation and ensemble methods can lower variance. Ultimately, successful learning comes from carefully balancing these two sources of error so that the model captures the true structure of the data while remaining robust to noise."
2025/08/22 9:03:21 PM GMT+5:30,181,Polynomial Regression and MLR,"Multiple Linear Regression (MLR) generalizes simple linear regression by including multiple independent variables and their respective unique regression constants, expressing their contributions in predicting y.
y = b0 + b1x1 + b2x2 + b3x3 + b4x4 + .... + e
This model has an n-dimensional feature-space for n predictors. The closed form solution as discussed in class, involves matrices and is of the following form:
b = (XtX)^(-1)XtY
where X is the matrix of input and y has the expected output.
Such an approach, MLR, is useful when a parameter that is studied depends on multiple factors. It helps considering complex and more realistic scenarios with various influences.

Polynomial Regression is an extension of linear regression which allows us to fit models with non linear relationships. This kind of regression is linear in coefficients but non linear in characteristics. It is achieved similar to MLR, but by adding polynomial terms with increasing powers
y = b0 + b1x + b2x^2 + b3x^3 + b4x^4 + .... + e
Extension to multiple variable case: y = b0 + b1x1 + b2x2 + b3x1^2 + b4x2^2  .... + e

It must be noted that ALL polynomial regressions are are MLRs but not ALL MLRs are polynomial regressions.

On one hand this model provides flexibility, whereas on the other hand, it enhances the risk of overfitting. More the number of polynomial terms help fit the data too closely, however loses generalization and leads to overfitting."
2025/08/22 9:20:13 PM GMT+5:30,182,Causes and fixes of Overfitting and can the model work bad in training but excel in testing,"In today’s class we discussed about overfitting, which occurs when the model gets stuck to the training data and isn’t flexible enough to fit to the test data. I analysed the cause for this. 
One cause can be that that training dataset is too small and the sample taken for training does not represent the population accurately, and similar thing can be true for the test dataset. An expansion on this is that training dataset might not be diverse enough. The training sample may be biased. For example, in a dataset with salaries of employees, the training sample may include men with higher salaries and women with lower ones, but this does not represent the population correctly. Or in an image dataset of dogs, there are more left facing ones. To fix this we need to introduce data augmentation. This includes twisting the original training data, changing it a little bit (like flipping the images of dogs) to make the dataset diverse  Now moving to the other case: Yes it is possible that the model does not give good results with the training data, but does so while testing. The causes for it can be:

1. The one idea that came to right off the bat was that the data contains outliers, or the data is noisy. For example, we are applying linear regression to a dataset about the salaries vs age in a big company, and we have a training sample with people of all age groups but with either very high salary or very low salary, rest all salaries lie midway which is the test dataset. The regression line passes through the centre of this extreme data, which gives huge errors for the training sample but for testing sample it is a pretty good fit.

2. If the training process is noisy or pooorly optimized (for example, small or high learning rates), the model may not achieve low training loss but still captures the main trends in the data, resulting in good performance on test data."
2025/08/22 9:21:32 PM GMT+5:30,189,Polynomial regressoin,"1. Introduction
Polynomial regression extends linear regression by including polynomial terms of the predictors, allowing us to model nonlinear relationships while still using the linear regression framework.

Suppose we have a single predictor variable x. A standard linear regression would be:
y = β0 + β1 x + ε
Polynomial regression of degree d generalizes this as:
y = β0 + β1 x + β2 x^2 + … + βd x^d + ε

Although the model includes nonlinear functions of x, it is still linear in the parameters β. This means we can still use the ordinary least squares (OLS) method to estimate coefficients.

In higher dimensions (multiple predictors), polynomial regression can also include interaction terms (e.g., x1*x2, x1^2*x2, etc.), further increasing flexibility.
3. Perks
- Capturing curvature: Many real-world relationships are not strictly linear. Polynomial terms allow us to capture concavity/convexity and inflection points.
- Approximation power: By the Weierstrass approximation theorem, polynomials can approximate a wide variety of continuous functions.
- Easy extension: Since it is based on linear regression, implementation is straightforward and well-supported in most software.

Example: Modeling the relationship between years of experience and salary. A straight line might miss the initial acceleration and later plateau, while a quadratic or cubic polynomial fits more realistically.
4. Risks and Limitations
1. Overfitting: Higher-degree polynomials can fit training data perfectly but perform poorly on new data due to excessive flexibility (variance increases).
2. Extrapolation: Polynomial curves often behave erratically outside the observed range (e.g., a cubic might diverge to infinity).
3. Interpretability: Coefficients of higher-degree terms do not carry intuitive meaning. The effect of x on y is no longer straightforward.
4. Multicollinearity: x, x^2, x^3, etc., are highly correlated, leading to unstable coefficient estimates.
5. Computational cost: For very high dimensions and high polynomial degree, the number of terms explodes combinatorially, leading to the ""curse of dimensionality"".
5. Model Selection and Degree Choice
Choosing the polynomial degree is crucial. 
- Low degree → underfitting (high bias). 
- High degree → overfitting (high variance).

Common strategies:
- Cross-validation: Evaluate prediction error on validation sets for different degrees and pick the one that minimizes error.
- Information criteria: Use AIC/BIC to balance goodness of fit and model complexity.
- Domain knowledge: Often, quadratic or cubic terms are sufficient for practical modeling; rarely do we go beyond 4th degree in applied settings.
6. Alternatives and Extensions
Polynomial regression is not the only way to model nonlinear patterns. Alternatives include:
- Splines: Piecewise polynomials joined smoothly at knots. They reduce oscillation problems of high-degree polynomials.
- Generalized Additive Models (GAMs): Flexible framework allowing smooth nonlinear effects of predictors.
- Machine learning models: Decision trees, random forests, and neural networks handle nonlinearity naturally without explicit polynomial terms.

Thus, polynomial regression can be seen as a simple baseline in the larger family of nonlinear modeling methods.
7. Reflections

- Polynomial regression is a useful tool for moderate nonlinearities, but splines or kernel methods are usually more robust for complex data.
- Its connection to approximation theory (polynomials as universal approximators) is elegant, but in practice, high-degree fits are rarely advisable.
- The key lesson is that ""more complex"" is not always ""better"" – a theme that echoes across all of data science.
8. Conclusion
Polynomial regression extends linear regression by incorporating polynomial terms of predictors, enabling modeling of nonlinear relationships while keeping the estimation framework linear.

Strengths:
- Easy to implement with standard regression tools.
- Can capture curvature in relationships.
- Strong theoretical foundation (polynomials can approximate many functions).

Weaknesses:
- Risk of overfitting, poor extrapolation, multicollinearity, interpretability challenges.

In practice, polynomial regression is a good exploratory method or baseline model but should be used carefully, with degree selection guided by validation techniques and domain insight. For highly nonlinear problems, more advanced tools (splines, GAMs, ML models) are usually better suited."
